env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
394000,197,0.000000,0.000034,0.000124,0.000000,0.000000,-0.032072,1440.00,3415.6
396000,198,0.000000,0.000051,0.000103,-0.000000,0.000000,-0.032072,1440.00,3081.7
398000,199,0.000000,0.000088,0.000108,-0.000000,0.000000,-0.032072,1440.00,3422.9
400000,200,-0.000000,0.000041,0.000105,-0.000000,0.000000,-0.032072,1440.00,3545.2
402000,201,-0.000000,0.000029,0.000104,-0.000000,0.000000,-0.032072,1440.00,3427.7
404000,202,-0.000000,0.000039,0.000097,-0.000000,0.000000,-0.032072,1440.00,3474.9
406000,203,-0.000000,0.000037,0.000161,-0.000000,0.000000,-0.032072,1440.00,2954.5
408000,204,-0.000000,0.000037,0.000219,0.000000,0.000000,-0.032072,1440.00,3424.8
410000,205,-0.000000,0.000049,0.000149,0.000000,0.000000,-0.032072,1440.00,3444.9
412000,206,-0.000000,0.000025,0.000206,-0.000000,0.000000,-0.032072,1440.00,3223.8
414000,207,-0.000000,0.000028,0.000265,0.000000,0.000000,-0.032072,1440.00,3452.2
416000,208,-0.000000,0.000038,0.000161,0.000000,0.000000,-0.032397,1440.00,2688.4
418000,209,-0.000000,0.000082,0.000114,-0.000000,0.000000,-0.032397,1440.00,2724.1
420000,210,-0.000000,0.000045,0.000139,-0.000000,0.000000,-0.032397,1440.00,2619.8
422000,211,-0.000000,0.000025,0.000160,-0.000000,0.000000,-0.032397,1440.00,3448.0
424000,212,0.000000,0.000050,0.000186,0.000000,0.000000,-0.032397,1440.00,3339.1
426000,213,-0.000000,0.000029,0.000214,0.000000,0.000000,-0.032397,1440.00,3302.8
428000,214,-0.000000,0.000046,0.000124,-0.000000,0.000000,-0.032397,1440.00,3137.3
430000,215,0.000000,0.000082,0.000114,-0.000000,0.000000,-0.032397,1440.00,2812.5
432000,216,-0.000000,0.000030,0.000166,-0.000000,0.000000,-0.032397,1440.00,3346.8
434000,217,0.000000,0.000027,0.000198,-0.000000,0.000000,-0.032397,1440.00,3206.4
436000,218,0.000000,0.000032,0.000177,-0.000000,0.000000,-0.032397,1440.00,3404.5
438000,219,0.000000,0.000052,0.000130,-0.000000,0.000000,-0.033607,1440.00,3489.5
440000,220,-0.000000,0.000032,0.000210,-0.000000,0.000000,-0.033607,1440.00,3559.2
442000,221,-0.000000,0.000029,0.000216,-0.000000,0.000000,-0.033607,1440.00,2860.5
444000,222,0.000000,0.000021,0.000205,-0.000000,0.000000,-0.033607,1440.00,3413.2
446000,223,-0.000000,0.000068,0.000167,-0.000000,0.000000,-0.033607,1440.00,3486.2
448000,224,-0.000000,0.000061,0.000187,-0.000000,0.000000,-0.033607,1440.00,3393.6
450000,225,0.000000,0.000793,0.000221,-0.000000,0.000000,-0.033607,1440.00,3263.1
452000,226,-0.000001,0.000141,0.000298,0.000000,0.000000,-0.033607,1440.00,3086.9
454000,227,-0.000001,0.000055,0.000470,0.000000,0.000000,-0.033607,1440.00,2738.0
456000,228,-0.000269,0.000699,0.000160,0.001798,0.000375,-0.033607,1440.00,3355.1
458000,229,0.000000,0.011152,0.000002,0.000000,0.000000,-0.033607,1440.00,3262.2
460000,230,0.000000,0.001290,0.000003,-0.000000,0.000000,-0.033607,1440.00,3504.5
462000,231,0.000000,0.000798,0.000004,-0.000000,0.000000,-0.033134,1440.00,3238.4
464000,232,0.000000,0.000121,0.000011,-0.000000,0.000000,-0.033134,1440.00,3212.8
466000,233,0.000000,0.000171,0.000013,-0.000000,0.000000,-0.033134,1440.00,3132.8
468000,234,0.000000,0.000118,0.000012,-0.000000,0.000000,-0.033134,1440.00,2851.3
470000,235,0.000000,0.000069,0.000011,0.000000,0.000000,-0.033134,1440.00,3113.1
472000,236,0.000000,0.000036,0.000011,0.000000,0.000000,-0.033134,1440.00,3096.5
474000,237,0.000000,0.000075,0.000011,0.000000,0.000000,-0.033134,1440.00,2634.7
476000,238,0.000000,0.000120,0.000021,-0.000000,0.000000,-0.033134,1440.00,2782.6
478000,239,0.000000,0.000062,0.000023,-0.000000,0.000000,-0.033134,1440.00,2749.3
480000,240,0.000000,0.000124,0.000017,-0.000000,0.000000,-0.033134,1440.00,3559.1
482000,241,0.000000,0.000061,0.000017,-0.000000,0.000000,-0.033134,1440.00,3523.7
484000,242,0.000000,0.000054,0.000025,-0.000000,0.000000,-0.032715,1440.00,3520.6
486000,243,0.000000,0.000031,0.000028,0.000000,0.000000,-0.032715,1440.00,3196.6
488000,244,0.000000,0.000069,0.000017,0.000000,0.000000,-0.032715,1440.00,3367.4
490000,245,0.000000,0.000030,0.000017,0.000000,0.000000,-0.032715,1440.00,3373.9
492000,246,0.000000,0.000022,0.000026,0.000000,0.000000,-0.032715,1440.00,3309.0
494000,247,0.000000,0.000019,0.000025,0.000000,0.000000,-0.032715,1440.00,3035.6
496000,248,0.000000,0.000021,0.000032,0.000000,0.000000,-0.032715,1440.00,3245.8
498000,249,0.000000,0.000025,0.000027,0.000000,0.000000,-0.032715,1440.00,3363.7
500000,250,0.000000,0.000019,0.000022,0.000000,0.000000,-0.032715,1440.00,2870.5
502000,251,0.000000,0.000017,0.000027,0.000000,0.000000,-0.032715,1440.00,3502.1
504000,252,0.000000,0.000032,0.000018,0.000000,0.000000,-0.032715,1440.00,3471.6
506000,253,-0.000000,0.000068,0.000015,0.000000,0.000000,-0.032715,1440.00,3055.2
508000,254,-0.000000,0.000030,0.000025,0.000000,0.000000,-0.033113,1440.00,3555.7
510000,255,0.000000,0.000021,0.000025,0.000000,0.000000,-0.033113,1440.00,3497.5
512000,256,-0.000000,0.000022,0.000020,0.000000,0.000000,-0.033113,1440.00,3372.8
514000,257,-0.000000,0.000024,0.000028,0.000000,0.000000,-0.033113,1440.00,3074.1
516000,258,-0.000000,0.000019,0.000030,0.000000,0.000000,-0.033113,1440.00,2979.0
518000,259,-0.000000,0.000018,0.000024,0.000000,0.000000,-0.033113,1440.00,3252.7
520000,260,-0.000000,0.000016,0.000019,0.000000,0.000000,-0.033113,1440.00,3332.0
522000,261,-0.000000,0.000020,0.000021,0.000000,0.000000,-0.033113,1440.00,3368.5
524000,262,-0.000000,0.000032,0.000028,0.000000,0.000000,-0.033113,1440.00,3172.2
526000,263,-0.000000,0.000021,0.000031,0.000000,0.000000,-0.033113,1440.00,2886.9
528000,264,-0.000000,0.000021,0.000049,0.000000,0.000000,-0.033113,1440.00,3316.2
530000,265,-0.000000,0.000029,0.000044,0.000000,0.000000,-0.032566,1440.00,3436.0
532000,266,-0.000000,0.000075,0.000029,-0.000000,0.000000,-0.032566,1440.00,3385.8
534000,267,-0.000000,0.000019,0.000028,0.000000,0.000000,-0.032566,1440.00,3316.4
536000,268,-0.000000,0.000039,0.000045,0.000000,0.000000,-0.032566,1440.00,3292.7
538000,269,0.000000,0.000154,0.000031,-0.000000,0.000000,-0.032566,1440.00,2795.7
540000,270,-0.000000,0.000081,0.000044,-0.000000,0.000000,-0.032566,1440.00,2895.5
542000,271,0.000000,0.000020,0.000051,-0.000000,0.000000,-0.032566,1440.00,3149.0
544000,272,0.000000,0.000017,0.000044,0.000000,0.000000,-0.032566,1440.00,3231.7
546000,273,0.000000,0.000029,0.000039,0.000000,0.000000,-0.032566,1440.00,3269.2
548000,274,0.000000,0.000025,0.000037,0.000000,0.000000,-0.032566,1440.00,3298.4
550000,275,0.000000,0.000077,0.000025,-0.000000,0.000000,-0.032566,1440.00,3458.4
552000,276,0.000000,0.000016,0.000041,-0.000000,0.000000,-0.032566,1440.00,3359.5
554000,277,0.000000,0.000017,0.000055,0.000000,0.000000,-0.032883,1440.00,3337.1
556000,278,0.000000,0.000019,0.000049,0.000000,0.000000,-0.032883,1440.00,3115.7
558000,279,0.000000,0.000018,0.000038,0.000000,0.000000,-0.032883,1440.00,2853.9
560000,280,0.000000,0.000015,0.000035,0.000000,0.000000,-0.032883,1440.00,3245.1
562000,281,0.000000,0.000035,0.000037,0.000000,0.000000,-0.032883,1440.00,3066.6
564000,282,0.000000,0.000063,0.000044,-0.000000,0.000000,-0.032883,1440.00,3138.8
566000,283,0.000000,0.000042,0.000039,-0.000000,0.000000,-0.032883,1440.00,3216.3
568000,284,0.000000,0.000018,0.000043,0.000000,0.000000,-0.032883,1440.00,3253.6
570000,285,0.000000,0.000038,0.000073,-0.000000,0.000000,-0.032883,1440.00,2831.5
572000,286,-0.000267,0.000318,0.000022,0.003944,0.000375,-0.032883,1440.00,3201.5
574000,287,-0.000000,0.003239,0.000000,0.000000,0.000000,-0.032883,1440.00,3337.0
576000,288,-0.000000,0.000828,0.000000,0.000000,0.000000,-0.033124,1440.00,3265.9
578000,289,-0.000000,0.001591,0.000000,0.000000,0.000000,-0.033124,1440.00,2907.5
580000,290,-0.000000,0.032046,0.000000,0.000000,0.000000,-0.033124,1440.00,2726.9
582000,291,-0.000000,0.005763,0.000000,0.000000,0.000000,-0.033124,1440.00,2015.7
584000,292,-0.000000,0.004059,0.000000,0.000000,0.000000,-0.033124,1440.00,1792.3
